MUTUALIA
"CENTRO PARA MAYORES SANTA ISABEL, S.L."
"RESIDENCIA  CERVANTES, S.L."
TOSANDE SOCIEDAD COOPERATIVA 
FUNDACIÓN CORRALES JAVALERA
"IVI ZARAGOZA, S.L."
"AZEPA GRAN VIA, S.L."
FUNDACIÓ SANT FRANCESC D'ASSIS
FUNDACIÓN HOGAR SANTA RITA
FUNDACIÓN DOCENTE DE MINEROS ASTURIANOS
FUNDACIÓN SANTA JUSTA
FUNDACIÓN CASADO DEL ALISAL
"LEAD PROJECTS GESTION DE PROYECTOS ASISTENCIALES, S.L."
"GRUPO EMP CASTILLA LUNA, S.L."
"RASSISS RESIDENCIAS, S.L."
"RESIDENCIA SANLISART, S.L."
FUNDACIÓN CARMEN ARIAS
"CENTRO DE MAYORES DE TALAVERA, S.L."
"AYUMAR SERVICIOS INTEGRALES, S.L."
"RURALTERSA, S.L."
"RESIDENCIA ORUE, S.L."
FUNDACIÓN ASILO RESIDENCIA NTRA. SRA. DE LA CARIDAD
FUNDACIÓN RESIDENCIA ANCIANOS S. FRANCISCO
FUNDACIÓN DE DOÑA FAUSTA ELORZ
FUNDACIÓN CENTRO DE ACOGIDA SAN JOSE
A.S.V.A.I.
